tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
88.3,0.161602067,0.355710047,-0.2150623727,0.1472928932,-0.1410396985,-0.07325077246,-0.008690778961,-0.006541618166,0.4691898087,2.062376169,9.302497391,0.1558101913,0.1040225321,0.04227324642,2.047524543e-05,0.01328115975,0.0004036323113,0.3657949038,-0.1515262452,0.07838305731
88.4,0.147030544,0.3458411672,-0.2143911223,0.1459160958,-0.149976072,-0.1240166025,0.02203849376,-0.02100573726,0.4692218926,2.063743614,9.302504719,0.1557781075,0.1053587824,0.04019955795,1.241994932e-07,0.01355115046,3.342811459e-05,0.3485129293,-0.1937420781,0.07949862736
88.5,0.1316868785,0.3309428198,-0.2106768382,0.1430920877,-0.1565132283,-0.1736996707,0.05210332318,-0.03545946116,0.469271828,2.065110784,9.302508742,0.1557281721,0.1066474472,0.03999830396,1.300787978e-05,0.01339611264,-0.0003570132236,0.3271285969,-0.2334957802,0.08076669912
88.6,0.1158010613,0.3111653149,-0.204005672,0.1388298754,-0.1608567,-0.2214608797,0.08111235174,-0.04974297403,0.4693459656,2.066481623,9.302539797,0.1556540345,0.1078436457,0.04184005819,5.303262769e-05,0.01286076394,-0.0007408678069,0.30191082,-0.2703393532,0.08211675454
88.7,0.09958063769,0.2867421185,-0.1945020038,0.1331545511,-0.1632480173,-0.2664790044,0.1086930676,-0.06369476632,0.4694495908,2.067819368,9.302621368,0.1555504092,0.1089109284,0.04568605659,0.0001127207661,0.01200210203,-0.001096174959,0.2731714406,-0.3038628911,0.08347764626
88.8,0.08320767285,0.2579872299,-0.1823263527,0.1261073425,-0.1639533138,-0.3079673483,0.134495845,-0.07715405362,0.4695865919,2.069091123,9.302769112,0.1554134081,0.1098219096,0.05128793571,0.0001840381652,0.01088379585,-0.001406708598,0.2412612295,-0.3336983003,0.08478076824
88.9,0.06683687621,0.2252909136,-0.167672901,0.1177454171,-0.1632516115,-0.3451899577,0.1581976352,-0.08996322613,0.4697591958,2.070269149,9.302990705,0.1552408043,0.1105582525,0.05820924379,0.0002591679534,0.009571024759,-0.001662180267,0.2065655412,-0.3595224814,0.08596286872
89,0.05059489727,0.1891138464,-0.1507666666,0.1081414435,-0.1614231722,-0.3774770118,0.1795052923,-0.101970276,0.4699677938,2.071331368,9.303286387,0.1550322062,0.1111101124,0.06586676088,0.0003311604983,0.0081261056,-0.001857869208,0.1694996781,-0.3810599745,0.08696842252
89.1,0.03458076689,0.149979783,-0.1318603629,0.09738291239,-0.1587382964,-0.4042390194,0.1981585201,-0.1130311508,0.470210873,2.072261423,9.303650094,0.154789127,0.1114751713,0.07358753793,0.0003944109479,0.006605145347,-0.001993821117,0.1305040164,-0.3980850777,0.08775151367
89.2,0.01886742121,0.1084668764,-0.1112309816,0.08557122843,-0.1554469316,-0.4249794794,0.2139324325,-0.123011982,0.4704850614,2.073048358,9.30407095,0.1545149386,0.1116573996,0.08067585666,0.0004449397898,0.005055849382,-0.002073780432,0.0900389453,-0.4104234512,0.08827721049
89.3,0.003504210302,0.06519782061,-0.08917614093,0.07282058734,-0.1517694204,-0.4393056963,0.2266397214,-0.1317911434,0.4707852885,2.073686033,9.304534957,0.1542147116,0.1116656842,0.08648321152,0.0004804760125,0.003516510798,-0.002104021274,0.04857967194,-0.4179532233,0.08852244068
89.4,-0.01147973725,0.02082901715,-0.06601023539,0.05925665754,-0.1478886803,-0.4469374852,0.2361324274,-0.1392610948,0.471105053,2.07417237,9.30502667,0.153894947,0.1115124471,0.09047404335,0.0005003637548,0.002016110851,-0.002092222415,0.006610939219,-0.4206056153,0.08847639405
89.5,-0.02607144979,-0.02396101546,-0.0420604292,0.04501508962,-0.1439440577,-0.4477135484,0.2423033121,-0.1453299766,0.4714367834,2.074508565,9.305530699,0.1535632166,0.1112123635,0.09228035739,0.0005053296084,0.0005753796438,-0.002046496986,-0.03537829546,-0.4183651054,0.0881404926
89.6,-0.04026952507,-0.06848374603,-0.01766253223,0.03023988011,-0.1400270434,-0.4415953639,0.2450868293,-0.149922923,0.4717722667,2.074745037,9.306032942,0.1532277333,0.1107812651,0.09173949418,0.000497157622,-0.0007913975922,-0.001974644708,-0.07690017548,-0.4112691483,0.08752797467
89.7,-0.05407921293,-0.112052995,0.006843201048,0.01508161907,-0.1361789744,-0.428668484,0.2444596943,-0.152983072,0.4721031195,2.075082096,9.306521456,0.1528968805,0.1102352923,0.08891107264,0.0004783220683,-0.002074087963,-0.001883650234,-0.1174732108,-0.3994074681,0.08666314043
89.8,-0.06750737014,-0.1539972971,0.03111630941,-0.0003043475784,-0.1323907824,-0.4091412037,0.2404410509,-0.1544722562,0.4724212684,2.07553306,9.306986966,0.1525787317,0.1095903312,0.08407130317,0.0004516246241,-0.003264216524,-0.001779412147,-0.1566274523,-0.3829209396,0.08558030239
89.9,-0.08055749263,-0.1936720006,0.05482035919,-0.01575980845,-0.1286047844,-0.3833406254,0.2330922329,-0.1543713668,0.4727194088,2.076087149,9.307423024,0.1522805913,0.1088617463,0.07768524058,0.0004198739875,-0.004352559862,-0.001666658441,-0.1939095343,-0.3620000708,0.08432247939
